Name,SteamId,CsmId
'Blueberries' Buckshot | NSWC SEAL,176209284,1083601
★ Bowie Knife | Gamma Doppler Phase 2 (Factory New),176263223,1087509
★ Bowie Knife | Gamma Doppler Phase 2 (Minimal Wear),176263556,1088039
★ Bowie Knife | Gamma Doppler Phase 3 (Factory New),176263223,1087563
★ Bowie Knife | Gamma Doppler Phase 3 (Minimal Wear),176263556,1087600
★ Bowie Knife | Gamma Doppler Phase 4 (Factory New),176263223,1087422
★ Bowie Knife | Gamma Doppler Phase 4 (Minimal Wear),176263556,1087669
★ Bowie Knife | Lore (Battle-Scarred),176263311,1087500
★ Bowie Knife | Lore (Factory New),176263262,1087643
★ Bowie Knife | Lore (Field-Tested),176263189,1087124
★ Bowie Knife | Lore (Minimal Wear),176263226,1087503
★ Bowie Knife | Lore (Well-Worn),176263119,1087011
★ Bowie Knife | Marble Fade (Factory New),175880618,9372
★ Bowie Knife | Marble Fade (Minimal Wear),175891589,3428
★ Bowie Knife | Night (Battle-Scarred),139833938,8608
★ Bowie Knife | Night (Factory New),148775097,21476
★ Bowie Knife | Night (Field-Tested),139673222,1549
★ Bowie Knife | Night (Minimal Wear),139854430,13794
★ Bowie Knife | Night (Well-Worn),139748201,1165
★ Bowie Knife | Rust Coat (Battle-Scarred),175880463,440
★ Bowie Knife | Rust Coat (Well-Worn),175885803,535
★ Bowie Knife | Safari Mesh (Battle-Scarred),139718952,1870
★ Bowie Knife | Safari Mesh (Factory New),145159657,36798
★ Bowie Knife | Safari Mesh (Field-Tested),139673217,2016
★ Bowie Knife | Safari Mesh (Minimal Wear),139763394,4022
★ Bowie Knife | Safari Mesh (Well-Worn),139705927,1632
★ Bowie Knife | Scorched (Battle-Scarred),139778813,13827
★ Bowie Knife | Scorched (Factory New),141499808,21182
★ Bowie Knife | Scorched (Field-Tested),139691732,7093
★ Bowie Knife | Scorched (Minimal Wear),139691734,12806
★ Bowie Knife | Scorched (Well-Worn),139873701,1676
★ Bowie Knife | Slaughter (Factory New),139924030,12967
★ Bowie Knife | Slaughter (Field-Tested),139873811,12617
★ Bowie Knife | Slaughter (Minimal Wear),139873671,903
★ Bowie Knife | Stained (Battle-Scarred),139732200,3654
★ Bowie Knife | Stained (Factory New),139763392,10439
★ Bowie Knife | Stained (Field-Tested),139705922,11090
★ Bowie Knife | Stained (Minimal Wear),139673187,17475
★ Bowie Knife | Stained (Well-Worn),139691727,179
★ Bowie Knife | Tiger Tooth (Factory New),175880633,13686
★ Bowie Knife | Tiger Tooth (Minimal Wear),175881329,21301
★ Bowie Knife | Ultraviolet (Battle-Scarred),175880448,10430
★ Bowie Knife | Ultraviolet (Factory New),175906714,21183
★ Bowie Knife | Ultraviolet (Field-Tested),175880704,15795
★ Bowie Knife | Ultraviolet (Minimal Wear),175881105,4091
★ Bowie Knife | Ultraviolet (Well-Worn),175881188,8409
★ Bowie Knife | Urban Masked (Battle-Scarred),139833940,1536
★ Bowie Knife | Urban Masked (Factory New),144659433,21186
★ Bowie Knife | Urban Masked (Field-Tested),139673195,9410
★ Bowie Knife | Urban Masked (Minimal Wear),139813606,7308
★ Bowie Knife | Urban Masked (Well-Worn),139778814,1535
★ Bowie Knife,139673203,7784
★ Broken Fang Gloves | Jade (Battle-Scarred),176209831,1083860
★ Broken Fang Gloves | Jade (Factory New),176211447,1084348
★ Broken Fang Gloves | Jade (Field-Tested),176209636,1083851
★ Broken Fang Gloves | Jade (Minimal Wear),176209811,1083838
★ Broken Fang Gloves | Jade (Well-Worn),176209770,1084021
★ Broken Fang Gloves | Needle Point (Battle-Scarred),176209631,1083670
★ Broken Fang Gloves | Needle Point (Factory New),176210160,1084222
★ Broken Fang Gloves | Needle Point (Field-Tested),176209671,1083859
★ Broken Fang Gloves | Needle Point (Minimal Wear),176209629,1083845
★ Broken Fang Gloves | Needle Point (Well-Worn),176209920,1084148
★ Broken Fang Gloves | Unhinged (Battle-Scarred),176209879,1083825
★ Broken Fang Gloves | Unhinged (Factory New),176211499,1084180
★ Broken Fang Gloves | Unhinged (Field-Tested),176209628,1083783
★ Broken Fang Gloves | Unhinged (Minimal Wear),176209833,1083936
★ Broken Fang Gloves | Unhinged (Well-Worn),176209810,1084122
★ Broken Fang Gloves | Yellow-banded (Battle-Scarred),176209793,1083883
★ Broken Fang Gloves | Yellow-banded (Factory New),176222226,1084474
★ Broken Fang Gloves | Yellow-banded (Field-Tested),176209544,1083864
★ Broken Fang Gloves | Yellow-banded (Minimal Wear),176209809,1083906
★ Broken Fang Gloves | Yellow-banded (Well-Worn),176209845,1083997
★ Butterfly Knife | Autotronic (Battle-Scarred),176263381,1087557
★ Butterfly Knife | Autotronic (Factory New),0,1087479
★ Butterfly Knife | Autotronic (Field-Tested),176263175,1087436
★ Butterfly Knife | Autotronic (Minimal Wear),176263274,1087348
★ Butterfly Knife | Autotronic (Well-Worn),176263470,1087605
★ Butterfly Knife | Black Laminate (Battle-Scarred),176263295,1087616
★ Butterfly Knife | Black Laminate (Factory New),176263579,1087768
★ Butterfly Knife | Black Laminate (Field-Tested),176263256,1087309
★ Butterfly Knife | Black Laminate (Minimal Wear),176263282,1087545
★ Butterfly Knife | Black Laminate (Well-Worn),176262929,1087568
★ Butterfly Knife | Blue Steel (Battle-Scarred),14971875,12608
★ Butterfly Knife | Blue Steel (Factory New),17368647,796
★ Butterfly Knife | Blue Steel (Field-Tested),14983802,9204
★ Butterfly Knife | Blue Steel (Minimal Wear),15100980,3385
★ Butterfly Knife | Blue Steel (Well-Worn),14983805,1657
★ Butterfly Knife | Boreal Forest (Battle-Scarred),15027970,216
★ Butterfly Knife | Boreal Forest (Factory New),17228370,26831
★ Butterfly Knife | Boreal Forest (Field-Tested),14962991,917
★ Butterfly Knife | Boreal Forest (Minimal Wear),14963006,710
★ Butterfly Knife | Boreal Forest (Well-Worn),15095012,19304
★ Butterfly Knife | Bright Water (Battle-Scarred),176263875,1087652
★ Butterfly Knife | Bright Water (Factory New),176263218,1087485
★ Butterfly Knife | Bright Water (Field-Tested),176263288,1087349
★ Butterfly Knife | Bright Water (Minimal Wear),176263247,1087023
★ Butterfly Knife | Bright Water (Well-Worn),176263217,1087505
★ Butterfly Knife | Case Hardened (Battle-Scarred),14986884,10509
★ Butterfly Knife | Case Hardened (Factory New),15434948,19881
★ Butterfly Knife | Case Hardened (Field-Tested),15008080,12852
★ Butterfly Knife | Case Hardened (Minimal Wear),15038000,3484
★ Butterfly Knife | Case Hardened (Well-Worn),15013481,12808
★ Butterfly Knife | Crimson Web (Battle-Scarred),15069272,588
★ Butterfly Knife | Crimson Web (Factory New),15968902,17634
★ Butterfly Knife | Crimson Web (Field-Tested),14966462,1799
★ Butterfly Knife | Crimson Web (Minimal Wear),14974572,2310
★ Butterfly Knife | Crimson Web (Well-Worn),15005297,799
★ Butterfly Knife | Damascus Steel (Battle-Scarred),175881413,21846
★ Butterfly Knife | Damascus Steel (Factory New),175880584,8757
★ Butterfly Knife | Damascus Steel (Field-Tested),175880431,1753
★ Butterfly Knife | Damascus Steel (Minimal Wear),175880920,12810
★ Butterfly Knife | Damascus Steel (Well-Worn),175881123,13892
★ Butterfly Knife | Doppler (Factory New),175881163,1078350
★ Butterfly Knife | Doppler (Minimal Wear),175880571,1078203
★ Butterfly Knife | Doppler Black Pearl (Factory New),175881163,12668
★ Butterfly Knife | Doppler Black Pearl (Minimal Wear),175880571,36822
★ Butterfly Knife | Doppler Phase 1 (Factory New),175881163,12959
★ Butterfly Knife | Doppler Phase 1 (Minimal Wear),175880571,23063
★ Butterfly Knife | Doppler Phase 2 (Factory New),175881163,16749
★ Butterfly Knife | Doppler Phase 2 (Minimal Wear),175880571,18854
★ Butterfly Knife | Doppler Phase 3 (Factory New),175881163,13662
★ Butterfly Knife | Doppler Phase 3 (Minimal Wear),175880571,16738
★ Butterfly Knife | Doppler Phase 4 (Factory New),175881163,12800
★ Butterfly Knife | Doppler Phase 4 (Minimal Wear),175880571,19492
★ Butterfly Knife | Doppler Ruby (Factory New),175881163,13824
★ Butterfly Knife | Doppler Ruby (Minimal Wear),175880571,21336
★ Butterfly Knife | Doppler Sapphire (Factory New),175881163,3985
★ Butterfly Knife | Doppler Sapphire (Minimal Wear),175880571,21523
★ Butterfly Knife | Fade (Factory New),14969263,1314
★ Butterfly Knife | Fade (Minimal Wear),14992940,14669
★ Butterfly Knife | Forest DDPAT (Battle-Scarred),14977509,16798
★ Butterfly Knife | Forest DDPAT (Factory New),19230649,24672
★ Butterfly Knife | Forest DDPAT (Field-Tested),14963011,322
★ Butterfly Knife | Forest DDPAT (Minimal Wear),15026899,15738
★ Butterfly Knife | Forest DDPAT (Well-Worn),14963020,15909
★ Butterfly Knife | Freehand (Battle-Scarred),176263386,1087771
★ Butterfly Knife | Freehand (Factory New),176263248,1087443
★ Butterfly Knife | Freehand (Field-Tested),176263246,1087415
★ Butterfly Knife | Freehand (Minimal Wear),176263306,1087361
★ Butterfly Knife | Freehand (Well-Worn),176263370,1087656
★ Butterfly Knife | Gamma Doppler (Factory New),176263372,1089076
★ Butterfly Knife | Gamma Doppler (Minimal Wear),176264349,0
★ Butterfly Knife | Gamma Doppler Emerald (Factory New),176263372,1087495
★ Butterfly Knife | Gamma Doppler Emerald (Minimal Wear),176264349,1088021
★ Butterfly Knife | Gamma Doppler Phase 1 (Factory New),176263372,1087437
★ Butterfly Knife | Gamma Doppler Phase 1 (Minimal Wear),176264349,1087574
★ Butterfly Knife | Gamma Doppler Phase 2 (Factory New),176263372,1087632
★ Butterfly Knife | Gamma Doppler Phase 2 (Minimal Wear),176264349,1088278
★ Butterfly Knife | Gamma Doppler Phase 3 (Factory New),176263372,1087191
★ Butterfly Knife | Gamma Doppler Phase 3 (Minimal Wear),176264349,1087719
★ Butterfly Knife | Gamma Doppler Phase 4 (Factory New),176263372,1087510
★ Butterfly Knife | Gamma Doppler Phase 4 (Minimal Wear),176264349,1087752
★ Butterfly Knife | Lore (Battle-Scarred),176263213,1087253
★ Butterfly Knife | Lore (Factory New),176277869,1087547
★ Butterfly Knife | Lore (Field-Tested),176263210,1087334
★ Butterfly Knife | Lore (Minimal Wear),176264272,1087460
★ Butterfly Knife | Lore (Well-Worn),176263278,1087156
★ Butterfly Knife | Marble Fade (Factory New),175880684,10419
★ Butterfly Knife | Marble Fade (Minimal Wear),175883450,19868
★ Butterfly Knife | Night (Battle-Scarred),14966467,18273
★ Butterfly Knife | Night (Factory New),23378821,18789
★ Butterfly Knife | Night (Field-Tested),14966469,14425
★ Butterfly Knife | Night (Minimal Wear),14966473,13273
★ Butterfly Knife | Night (Well-Worn),15013478,16766
★ Butterfly Knife | Rust Coat (Battle-Scarred),175880572,11099
★ Butterfly Knife | Rust Coat (Well-Worn),175880512,14651
★ Butterfly Knife | Safari Mesh (Battle-Scarred),14990005,809
★ Butterfly Knife | Safari Mesh (Factory New),16314876,18416
★ Butterfly Knife | Safari Mesh (Field-Tested),14971874,9328
★ Butterfly Knife | Safari Mesh (Minimal Wear),14999164,4059
★ Butterfly Knife | Safari Mesh (Well-Worn),14996135,17472
★ Butterfly Knife | Scorched (Battle-Scarred),15015911,1552
★ Butterfly Knife | Scorched (Factory New),15395670,23341
★ Butterfly Knife | Scorched (Field-Tested),14974565,2133
★ Butterfly Knife | Scorched (Minimal Wear),14969253,7282
★ Butterfly Knife | Scorched (Well-Worn),15128585,3870
★ Butterfly Knife | Slaughter (Factory New),14971872,1619
★ Butterfly Knife | Slaughter (Field-Tested),14983801,13526
★ Butterfly Knife | Slaughter (Minimal Wear),14977508,5024
★ Butterfly Knife | Stained (Battle-Scarred),14980588,3630
★ Butterfly Knife | Stained (Factory New),15545170,14960
★ Butterfly Knife | Stained (Field-Tested),14963026,7789
★ Butterfly Knife | Stained (Minimal Wear),14974570,1754
★ Butterfly Knife | Stained (Well-Worn),14977511,12616
★ Butterfly Knife | Tiger Tooth (Factory New),175880714,5699
★ Butterfly Knife | Tiger Tooth (Minimal Wear),175881537,20068
★ Butterfly Knife | Ultraviolet (Battle-Scarred),175880947,1743
★ Butterfly Knife | Ultraviolet (Factory New),175894061,20175
★ Butterfly Knife | Ultraviolet (Field-Tested),175880833,17937
★ Butterfly Knife | Ultraviolet (Minimal Wear),175880611,15892
★ Butterfly Knife | Ultraviolet (Well-Worn),175880578,14978
★ Butterfly Knife | Urban Masked (Battle-Scarred),15017866,751
★ Butterfly Knife | Urban Masked (Factory New),20864213,168
★ Butterfly Knife | Urban Masked (Field-Tested),14966478,13445
★ Butterfly Knife | Urban Masked (Minimal Wear),15031696,1190
★ Butterfly Knife | Urban Masked (Well-Worn),15037999,3425
★ Butterfly Knife,14977515,7318
★ Classic Knife | Blue Steel (Battle-Scarred),176092055,1073260
★ Classic Knife | Blue Steel (Factory New),176092096,1073410
★ Classic Knife | Blue Steel (Field-Tested),176091827,1073244
★ Classic Knife | Blue Steel (Minimal Wear),176091953,1073277
★ Classic Knife | Blue Steel (Well-Worn),176091946,1073292
★ Classic Knife | Boreal Forest (Battle-Scarred),176092074,1073295
★ Classic Knife | Boreal Forest (Factory New),176092515,1073348
★ Classic Knife | Boreal Forest (Field-Tested),176091940,1073270
★ Classic Knife | Boreal Forest (Minimal Wear),176092014,1073332
★ Classic Knife | Boreal Forest (Well-Worn),176091980,1073383
★ Classic Knife | Case Hardened (Battle-Scarred),176092044,1073314
★ Classic Knife | Case Hardened (Factory New),176092140,1073338
★ Classic Knife | Case Hardened (Field-Tested),176092018,1073307
★ Classic Knife | Case Hardened (Minimal Wear),176091938,1073237
★ Classic Knife | Case Hardened (Well-Worn),176092002,1073309
★ Classic Knife | Crimson Web (Battle-Scarred),176092003,1073354
★ Classic Knife | Crimson Web (Factory New),176186517,1073340
★ Classic Knife | Crimson Web (Field-Tested),176091984,1073289
★ Classic Knife | Crimson Web (Minimal Wear),176091993,1073245
★ Classic Knife | Crimson Web (Well-Worn),176091985,1073243
★ Classic Knife | Fade (Factory New),176091941,1073253
